Source,Category,Use for,Recommended filters / search terms,Keep,Avoid / delete,IsNew
Realtor.ca,For sale — MLS & brokers,Canada's MLS — the for-sale baseline,"Map view around your places; price cap; beds/baths; open-house filter","Direct /real-estate/<id> pages with address + photos","City-wide search links, sold/expired listings",FALSE
Zillow,For sale — MLS & brokers,US listings + Zestimate context,"Polygon draw around your places; price + beds; days-on-market","Direct home detail pages, price history","Pre-foreclosure teasers, stale 'off market' rows",FALSE
Redfin,For sale — MLS & brokers,Data-rich US/CA brokerage listings,"Map + commute filters; price/sqft sort; alerts","Detail pages w/ walkthroughs + fee notes",Areas Redfin doesn't service,FALSE
Realtor.com,For sale — MLS & brokers,US MLS cross-check,"Same polygon + price cap as Zillow; newest first",Direct property pages for dedupe,Duplicate rows you already track,FALSE
RE/MAX,For sale — MLS & brokers,Broker site with early exclusives,"Office/agent pages near your area; new-listing alerts",Exclusive listings not yet aggregated,Agent-bait pages without a real unit,FALSE
Royal LePage,For sale — MLS & brokers,Canadian broker exclusives,"City page; price band; property type",Direct listings w/ full specs,Lead-gen forms with no listing,FALSE
Zolo,For sale — aggregators,Fast Canadian MLS mirror + stats,"Neighbourhood pages; days-on-market; price drops","Direct listing pages, area price stats",Sale-pending noise,FALSE
HouseSigma,For sale — aggregators,Sold prices & history (CA),"Map; sold-comps toggle; days listed","Comps for any house you shortlist — check before offering",Login-walled features you don't need,FALSE
Wahi,For sale — aggregators,CA listings + market data,"Map draw; price cap; beds",Clean detail pages w/ history,Duplicates of Realtor.ca rows,FALSE
Point2Homes,For sale — aggregators,Listings + demographic context,"City/area pages; price + lot filters",Pages with neighbourhood data attached,Lead-gen spam,FALSE
Houseful,For sale — aggregators,CA aggregator (RBC-backed),"Saved search + alerts around your places",Direct pages w/ commute info,Thin/stale rows,FALSE
DuProprio,For sale — aggregators,FSBO (Québec strong),"Region pages; price band","Owner-direct listings, no-commission deals",Listings without inspection openness,FALSE
Rentals.ca,Rentals — aggregators,Managed buildings & apartments (CA),"Map around your places; beds; price cap; pet/parking filters","Building pages w/ clear rent, parking, availability","Premium units far over budget, stale reposts",FALSE
Zumper,Rentals — aggregators,Apartments + verified landlords,"Neighbourhood pages; price cap; beds; direct /address/ pages","Direct building/address pages, photo-rich units","Notify-only rows, no-rent listings",FALSE
PadMapper,Rentals — aggregators,Map-first rental cross-check,"Polygon around your places; price cap","Direct /buildings/ pages, cheapest near-POI units",Stale duplicates of Zumper,FALSE
Apartments.com,Rentals — aggregators,Managed buildings + commute filter,"Commute-time filter to Place 1; utilities-included toggle","Buildings w/ short commute, clear fees",Overpriced units with no upside,FALSE
liv.rent,Rentals — aggregators,ID-verified landlords (low scam),"City + price cap; verified-only toggle",Verified units near your places,Unverified far-out posts,FALSE
RentFaster.ca,Rentals — aggregators,Strong in western Canada,"Map; price; parking/pets filters",Private + managed listings w/ photos,Thin coverage areas,FALSE
Roomies.ca,Rentals — rooms & roommates,Private rooms + roommate fit (CA),"City; private room; budget cap; bills-included","Direct /rooms/<id> pages w/ clear address area","Vague profiles, no-location posts",FALSE
SpareRoom,Rentals — rooms & roommates,Rooms & flatshares (US/UK strong),"City; budget; room type","Live posts w/ photos + clear household info",Regions with thin coverage,FALSE
Roomster,Rentals — rooms & roommates,Rooms & shared housing,"City; price; preferences","Posts w/ address + parking info",Very vague or paywalled contacts,FALSE
Facebook Marketplace,Social & classifieds,Off-market homes & rentals (high yield),"Property rentals/sales category; your city; price cap; sort newest","Address + photos + clear price; message fast","Deposit-before-viewing, WhatsApp-only, too-good pricing",FALSE
Kijiji,Social & classifieds,Classifieds rentals & FSBO (CA),"Your city; category; price band; sort newest; direct /v- pages","Direct /v-…/<id> listing pages only","Search-page links, no-price or no-location ads",FALSE
Craigslist,Social & classifieds,Private landlords & FSBO (US strong),"Housing category; price band; has-image; newest","Posts w/ address + phone, verify hard","High scam rate — two red flags = skip",FALSE
Nextdoor,Social & classifieds,Neighbourhood-level leads,"Your target neighbourhoods; 'for rent'/'for sale' search",Quiet-street private leads before they list,"Sparse, unverified",FALSE
Google Maps,Research & tools,Commute truth + area scouting,"Directions at YOUR real commute time; Street View the block","Real drive times to each place, transit options",Trusting straight-line distance for decisions,FALSE
Walk Score,Research & tools,Walkability / transit / bike context,"Score the shortlist addresses","Walk/transit scores for tie-breaking",Treating score as a substitute for visiting,FALSE
