ID,Volume,Action,Priority,Listing / lead,Source,Neighbourhood,Address / locator,Type,Rent text,Approx monthly share,Est drive min,Km straight-line,Parking,Internet / utilities,Availability,Furnishing,Criteria fit,Why add / note,What to verify,Date seen,Last checked,URL,Maps link,Score,Latitude,Longitude,Archived,IsNew
A1,Vol 1 - Core Fits,Message first,1,OIART-listed room: 15 Dow Rd,oiart.org,Westminster / OIART-adjacent,15 Dow Rd,Room in OIART student house,$450 all-inclusive,450,4,0.3,Yes,Yes,Yes,Likely furnished,Private bedroom; shared house,7-min walk; safest first contact,Contact Jennifer McEwen via OIART page,2026-05-30,2026-05-30,https://www.oiart.org/school-life/housing-in-london,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=15+Dow+Rd%2C+London%2C+ON,97,42.936,-81.215,FALSE,FALSE
A2,Vol 1 - Core Fits,Message first,2,OIART-listed room: 110 Deveron Cres Unit 39,oiart.org,Pond Mills / Glen Cairn,110 Deveron Cres,Room in owner/OIART student house,$700 all-inclusive,700,7,2.4,Yes,Yes,Yes,Unknown,Private bedroom; shared house,OIART says 10-min drive or direct bus,Contact Nikki via OIART page,2026-05-30,2026-05-30,https://www.oiart.org/school-life/housing-in-london,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=110+Deveron+Cres%2C+London%2C+ON,96,42.951,-81.194,FALSE,FALSE
A3,Vol 1 - Core Fits,Message first,3,Kijiji: South London Pond Mills / LHSC / 401 room,kijiji.ca,Highland / Pond Mills,Area only,Private room in shared house,$700,700,7,2.1,Yes,Yes,Yes,Unknown,Private bedroom; shared house,Great commuter position; verify July lease,Parking + Wi-Fi stated,2026-05-30,2026-05-30,https://www.kijiji.ca/v-room-rental-roommate/london/room-for-rent-south-london-pond-mills-lhsc-401/1732940400,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=London+Ontario,91,42.953,-81.215,FALSE,FALSE
A4,Vol 1 - Core Fits,Add / book viewing,4,Kijiji: Private room near Southdale / Adelaide S,kijiji.ca,Westminster,Southdale / Adelaide S,Private room in shared house,$850,850,4,0.7,Yes,Yes,Likely,Furnished,Private bedroom; shared house,Utilities incl. heat/electricity/water/internet; verify parking,Good commute; furnished is a slight mismatch,2026-05-30,2026-05-30,https://www.kijiji.ca/v-room-rental-roommate/london/private-room-for-rent-furnished/1735658065,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Southdale+%2F+Adelaide+S%2C+London%2C+ON,86,42.929,-81.217,FALSE,FALSE
A5,Vol 1 - Core Fits,Add / book viewing,5,"Kijiji: Quiet male house, Edgemere Cres",kijiji.ca,Glen Cairn / Pond Mills edge,Edgemere Cres,Private room in male shared house,$650,650,5,1.3,Unknown,Unknown,Likely,Unknown,Private bedroom; male household,Strong fit for male-preferred household; verify internet/parking,3 rooms noted,2026-05-30,2026-05-30,https://www.kijiji.ca/v-room-rental-roommate/london/private-room-for-rent-in-a-quiet-male-house/1736301758,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Edgemere+Cres%2C+London%2C+ON,86,42.945,-81.205,FALSE,FALSE
N26,Vol 1 - Core Fits,Add / book viewing,6,Roomies: Lochem Road Pond Mills room,roomies.ca,Pond Mills,Lochem Road,Shared furnished room in house,$700 all-inclusive,700,8,2.9,Parking included,All included,Updated in Roomies result,Furnished,Shared/private room; verify,One of the better Roomies target-area options; no double occupancy.,"Confirm room privacy, July-July and house rules.",2026-05-30,2026-05-30,https://www.roomies.ca/rooms/london-on/pet-friendly?page=2,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Lochem+Road%2C+London%2C+ON,86,42.957,-81.194,FALSE,FALSE
B5,Vol 1 - Core Fits,Add / book viewing,7,Kijiji: 3-bedroom apartment near White Oaks Mall,kijiji.ca,White Oaks,White Oaks Mall area,3-bed apartment split,"$2,200 all-inclusive",2200,6,1.9,Yes,Yes,Jun 19,Unknown,Roommate split,$733 each all-in if split 3; two parking spaces,One of the best group options,2026-05-30,2026-05-30,https://www.kijiji.ca/v-apartments-condos/london/spacious-3-bedroom-apartment-for-rent-prime-location/1737631109,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=White+Oaks+Mall+area%2C+London%2C+ON,85,42.93,-81.235,FALSE,FALSE
C1,Vol 2 - Stretch / Flavour,Add / book viewing,8,"Roomies: N6P 0H7 basement, own bathroom",roomies.ca,Lambeth / Longwoods,N6P 0H7,Room/basement with own bathroom,$825 inclusive,825,25,9.2,Yes,Yes,Unknown,Unfurnished,Own bathroom; separate entrance,Separate entrance + parking + all-inclusive,Best lifestyle stretch under budget,2026-05-30,2026-05-30,https://www.roomies.ca/rooms/london-on/dog-friendly,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=N6P+0H7%2C+London%2C+ON,85,42.91,-81.32,FALSE,FALSE
E1,Vol 1 - Core Fits,Add / book viewing,9,"Kijiji: Male student house, all-inclusive (May 2026 lease)",kijiji.ca,South London / Wharncliffe-Commissioners,Wharncliffe & Commissioners,Room(s) in all-male shared house,$650 + ~$50 utilities,700,12,4.6,Parking available,Wifi + utilities included,1-yr lease May 2026,Unknown,Private bedroom; all-male household; laundry in unit,Strong male-household fit with wifi+utilities+laundry+parking all stated; slightly west but drivable.,Confirm a July-start room (current lease is May 2026 to Apr 2027) and exact address.,2026-05-31,2026-05-31,https://www.kijiji.ca/b-room-rental-roommate/london/room-for-rent-london/k0c36l1700214,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=Wharncliffe%20%26%20Commissioners%2C+London%2C+ON,84,42.965,-81.265,FALSE,TRUE
B2,Vol 1 - Core Fits,Add / book viewing,10,"Kijiji: 3-bed, 1.5 bath townhouse",kijiji.ca,Pond Mills / Glen Cairn,110 Deveron Cres,3-bed townhouse split,"$2,200 + utilities",2200,7,2.4,Yes,Utilities extra,July 1,Unfurnished,Roommate split,$733 each before utilities if split 3 ways,Strong roommate play in target area,2026-05-30,2026-05-30,https://www.kijiji.ca/v-apartments-condos/london/3-bedroom-1-5-bath-townhouse-for-rent/1737955546,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=110+Deveron+Cres%2C+London%2C+ON,83,42.951,-81.194,FALSE,FALSE
D7,Vol 2 - Stretch / Flavour,Add / book viewing,11,Zumper: The Brighton,zumper.com,Old South / Wortley edge,102 Grand Ave,Managed 1-2 bed,"$1,199-$1,489",1199,13,5,Parking fee likely,Heat/water likely,Current,Unfurnished,Private apartment,Best lifestyle neighbourhood; maybe lowest priced Old South building,"User-provided source checked; utilities/high-speed internet noted, parking fee/contact property.",2026-05-30,2026-05-30,https://www.zumper.com/apartment-buildings/p401874/the-brighton-south-london-london-on,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=102+Grand+Ave%2C+London%2C+ON,83,42.966,-81.256,FALSE,FALSE
N25,Vol 1 - Core Fits,Add / book viewing,12,Rentals.ca: 45 Pond Mills Road active listing search,rentals.ca,Pond Mills,45 Pond Mills Rd,Condo/room listings around 45 Pond Mills,"$895-$1,000 leads seen in search results",1000,9,3,Likely / verify,Unknown,Recent search results,Unknown,Private room or unit; verify,Strong target location; use Rentals.ca active-listing results to monitor multiple low-price leads.,Open Rentals.ca map/results and verify current active listing details.,2026-05-30,2026-05-30,https://rentals.ca/london?active-listing-id=719011&p=16,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=45+Pond+Mills+Rd%2C+London%2C+ON,82,42.959,-81.198,FALSE,FALSE
D8,Vol 2 - Stretch / Flavour,Add / book viewing,13,Zumper: The Winston,zumper.com,Old South / Wortley edge,110 Grand Ave,Managed 1-2 bed,"$1,199-$1,549",1199,13,5,Likely,Unknown,Current,Unfurnished,Private apartment,Old South lifestyle at a potentially manageable stretch,"User-provided source checked; Old South/Wortley lifestyle stretch, parking fee/contact property.",2026-05-30,2026-05-30,https://www.zumper.com/apartment-buildings/p401871/the-winston-south-london-london-on,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=110+Grand+Ave%2C+London%2C+ON,82,42.966,-81.255,FALSE,FALSE
A7,Vol 1 - Core Fits,Add / book viewing,14,Kijiji: Amazing house in White Oaks,kijiji.ca,White Oaks,White Oaks,Private room in house,$670,670,6,1.9,Parking available? verify,Unknown,Likely,Furnished bed shown,Private bedroom; young professional vibe,Good price/location; must verify parking and July,Young professional match requested,2026-05-30,2026-05-30,https://www.kijiji.ca/v-room-rental-roommate/london/room-for-rent-in-amazing-house-in-white-oaks-london/1737973821,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=White+Oaks%2C+London%2C+ON,81,42.93,-81.235,FALSE,FALSE
D2,Vol 2 - Stretch / Flavour,Add / book viewing,15,Apartments.com: Bradley Court I/II,apartments.com,White Oaks,1585-1595 Ernest Ave,Managed 2-bed apartment,"$1,699 split",1699,6,1.6,Likely,Utilities included page,Current,Unfurnished,2-bed split,$850 each if split 2; very close,Strong roommate split,2026-05-30,2026-05-30,https://www.apartments.com/london-on/utilities-included/,https://www.google.com/maps/dir/?api=1&origin=502+Newbold+St+London+ON&destination=1585-1595+Ernest+Ave%2C+London%2C+ON,81,42.935,-81.232,FALSE,FALSE
